zip,state_abbrev,county_code
02905,ri,007
02906,ri,007
02907,ri,007
02908,ri,007
02909,ri,007
02910,ri,007
02911,ri,007
02912,ri,007
02914,ri,007
02915,ri,007
02915,ri,001
02916,ri,007
02917,ri,007
02918,ri,007
02919,ri,007
02920,ri,007
02920,ri,003
02921,ri,007
02940,ri,007
03031,nh,011
03032,nh,015
03033,nh,011
03034,nh,013
03034,nh,015
03036,nh,015
03037,nh,015
03038,nh,015
03041,nh,015
03042,nh,017
03042,nh,015
03043,nh,011
03044,nh,015
03045,nh,011
03046,nh,013
03047,nh,011
03048,nh,011
03049,nh,011
03051,nh,011
03052,nh,011
03053,nh,015
03054,nh,011
03055,nh,011
03057,nh,011
03060,nh,011
03061,nh,011
03062,nh,011
03063,nh,011
03064,nh,011
03070,nh,011
03071,nh,011
03073,nh,015
03076,nh,015
03076,nh,011
03077,nh,015
03079,nh,015
03082,nh,011
03084,nh,011
03086,nh,011
03087,nh,015
03101,nh,011
03102,nh,013
03102,nh,011
03103,nh,011
03103,nh,015
03104,nh,013
03104,nh,011
03104,nh,015
03105,nh,011
03106,nh,013
03106,nh,011
03108,nh,011
03109,nh,011
03110,nh,011
03111,nh,011
03215,nh,009
03216,nh,013
03217,nh,009
03217,nh,001
03218,nh,001
03220,nh,001
03220,nh,013
03221,nh,013
03222,nh,009
03223,nh,009
03224,nh,013
03225,nh,001
03226,nh,003
03226,nh,001
03227,nh,003
03229,nh,013
03230,nh,013
03230,nh,009
03231,nh,013
03233,nh,013
03234,nh,015
03234,nh,013
03235,nh,013
03237,nh,013
03237,nh,001
03238,nh,009
03240,nh,009
03241,nh,009
03242,nh,013
03243,nh,009
03243,nh,013
03244,nh,019
03244,nh,011
03245,nh,001
03245,nh,009
03246,nh,001
03249,nh,001
03251,nh,009
03252,nh,001
03253,nh,001
03254,nh,003
03254,nh,001
03255,nh,013
03256,nh,001
03257,nh,019
03257,nh,013
03258,nh,013
03259,nh,003
03260,nh,013
03261,nh,017
03261,nh,015
03262,nh,009
03263,nh,013
03264,nh,009
03266,nh,009
03268,nh,013
03269,nh,001
03272,nh,013
03273,nh,013
03275,nh,013
03276,nh,013
03276,nh,001
03278,nh,013
03279,nh,009
03280,nh,011
03280,nh,019
03280,nh,013
03280,nh,005
03281,nh,011
03281,nh,013
03282,nh,009
03284,nh,019
03285,nh,009
03287,nh,013
03289,nh,001
03290,nh,015
03290,nh,017
03291,nh,015
03299,nh,001
03301,nh,013
03302,nh,013
03303,nh,013
03304,nh,013
03305,nh,013
03307,nh,013
03431,nh,005
03435,nh,005
03440,nh,011
03441,nh,005
03442,nh,011
03443,nh,005
